sample-id,filepath
G75179,G75179_5x_RB2_01_17259.mzXML
G78944,G78944_BB8_01_18659.mzXML
G78942,G78942_rerun_BH9_01_18781.mzXML
G72745,G72745_10x_BD4_01_17825.mzXML
G72711,G72711_10x_BH9_01_17937.mzXML
G73949,G73949_1x_BC12_01_17290.mzXML
G73640,G73640_BB6_01_18655.mzXML
G73644,G73644_p5_d5_15ul_GD4_01_21649.mzXML
G73645,G73645_BC6_01_18671.mzXML
G75172,G75172_1x_BH11_01_17354.mzXML
G78968,G78968_BB9_01_18660.mzXML
G73437,G73437_1x_rerun_BE4_01_17364.mzXML
G72441,G72441_1x_BA6_01_17274.mzXML
G75696,G75696_BA7_01_18642.mzXML
G72746,G72746_10x_3ul_BB3_01_17887.mzXML
G79584,G79584_5x_RH6_01_18243.mzXML
G72517,G72517_10x_BH10_01_17938.mzXML
G75697,G75697_rerun_BG7_01_18771.mzXML
G79473,G79473_5x_RE10_01_18233.mzXML
G79618,G79618_5x_RG5_01_17969.mzXML
G73942,G73942_1x_BD12_01_17303.mzXML
G75212,G75212_1x_BC3_01_17282.mzXML
G72708,G72708_10x_BC10_01_17818.mzXML
G78948,G78948_rerun_BD11_01_18712.mzXML
